,Num,Title,Artist(s),Year,Lead Artist(s),latitude,longitude,location,song_type_0,song_type_1,song_type_2,song_discovery,acousticness,danceability,duration,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,valence
18,19,Where Are Ü Now,Skrillex and Diplo featuring Justin Bieber,2015,Skrillex,34.0535,-118.245,"Los Angeles, CA, US",studio,electric,vocal,0.0,0.225039,0.630678,246.49415,0.718959,0.002645,4,0.224646,-6.24,0,0.077316,138.236,0.310572
19,20,Fight Song,Rachel Platten,2015,Rachel Platten,40.7146,-74.0071,"New York, NY, US",studio,electric,vocal,0.0,0.066431,0.667338,204.62925,0.61943,1e-06,7,0.201284,-7.011,1,0.047752,87.99,0.31133
20,21,679,Fetty Wap featuring Remy Boyz,2015,Fetty Wap,40.078875,-82.688125,"Paterson, New Jersey United States ",studio,electric,vocal,0.0,0.008438,0.572507,196.88444,0.689328,0.0,11,0.092867,-5.713,0,0.329671,189.97,0.63013
21,22,Lips Are Movin,Meghan Trainor,2015,Meghan Trainor,41.2852,-70.0993,"Nantucket, MA, US",studio,vocal,,0.0,0.551067,0.7416,179.73288,0.38897,1e-06,7,0.275846,-10.45,1,0.446262,141.374,0.83028
22,23,Worth It,Fifth Harmony featuring Kid Ink,2015,Fifth Harmony,25.779808,-80.1532,"Miami, FL",studio,electric,vocal,0.0,0.048012,0.855628,179.61751,0.422831,0.000119,8,0.1036,-15.423,1,0.30778,102.023,0.686246
23,24,Post to Be,Omarion featuring Chris Brown and Jhené Aiko,2015,Omarion,33.956526,-118.358654,"Inglewood, CA ",studio,electric,vocal,0.0,0.052824,0.560932,235.0683,0.66525,0.0,1,0.095913,-5.673,1,0.059783,98.114,0.681991
24,25,"Honey, I'm Good.",Andy Grammer,2015,Andy Grammer,34.0535,-118.245,"Los Angeles, CA, US",studio,electric,vocal,0.0,0.0504,0.684873,182.88281,0.926615,0.0,11,0.305794,-6.199,0,0.035184,122.054,0.762112
25,26,I'm Not the Only One,Sam Smith,2015,Sam Smith,51.866667,0.166667,"Bishops Stortford, England",studio,electric,vocal,0.0,0.217353,0.804535,210.64,0.800246,0.010944,2,0.163401,-5.826,0,0.078266,123.023,0.308488
26,27,Good for You,Selena Gomez featuring A$AP Rocky,2015,Selena Gomez,34.1016,-118.337,"Hollywood, Los Angeles, CA, US",studio,electric,vocal,0.0,0.362632,0.414217,182.09914,0.398611,0.0,3,0.069364,-17.372,1,0.092231,118.344,0.519754
27,28,All About That Bass,Meghan Trainor,2015,Meghan Trainor,41.2852,-70.0993,"Nantucket, MA, US",studio,electric,vocal,0.0,0.068738,0.802074,187.37333,0.908898,0.0,9,0.123655,-3.298,1,0.067173,134.05,0.964957
