,Year,Artist(s),Title,Lead Artist(s),latitude,longitude,location,song_type_0,song_type_1,song_type_2,song_discovery,acousticness,danceability,duration,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,valence
152,1978,Bob Seger & The Silver Bullet Band,Still the Same,Bob Seger & The Silver Bullet Band,,,,,,,,,,,,,,,,,,,
153,1978,John Travolta & Olivia Newton-John,Summer Nights,John Travolta & Olivia Newton-John,,,,,,,,,,,,,,,,,,,
154,1978,Patti Smith Group,Because the Night,Patti Smith Group,,,,,,,,,,,,,,,,,,,
155,1978,LeBlanc & Carr,Falling,LeBlanc & Carr,,,,,,,,,,,,,,,,,,,
156,1978,Kenny Loggins & Stevie Nicks,Whenever I Call You Friend,Kenny Loggins & Stevie Nicks,,,,,,,,,,,,,,,,,,,
157,1978,Bob Welch,Ebony Eyes,Bob Welch,34.0535,-118.245,"Los Angeles, CA, US",studio,electric,vocal,0.0,0.003082,0.605136,210.61333,0.894672,6.9e-05,11,0.162737,-4.347,1,0.031577,117.023,0.927231
158,1978,Bob Seger & The Silver Bullet Band,Hollywood Nights,Bob Seger & The Silver Bullet Band,,,,,,,,,,,,,,,,,,,
159,1979,Dr. Hook & The Medicine Show,When Youre in Love with a Beautiful Woman,Dr. Hook & The Medicine Show,,,,,,,,,,,,,,,,,,,
160,1979,Neil Diamond & Barbra Streisand,You Dont Bring Me Flowers,Neil Diamond & Barbra Streisand,,,,,,,,,,,,,,,,,,,
161,1979,Suzi Quatro & Chris Norman,Stumblin In,Suzi Quatro & Chris Norman,,,,,,,,,,,,,,,,,,,
162,1979,Dr. Hook & The Medicine Show,Sharing the Night Together,Dr. Hook & The Medicine Show,,,,,,,,,,,,,,,,,,,
163,1979,Kenny Rogers,She Believes in Me,Kenny Rogers,29.7605,-95.3698,"Houston, TX, US",studio,vocal,,0.0,0.81574,0.365233,258.93333,0.359494,5.8e-05,10,0.145048,-9.753,1,0.027722,144.111,0.222511
164,1979,Frank Mills,Music Box Dancer,Frank Mills,43.6486,-79.3853,"Toronto, Ontario, CA",studio,electric,,0.0,0.203965,0.484943,191.93333,0.690517,0.819469,1,0.110972,-7.003,1,0.03391,133.291,0.841247
